trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.9, 'e': 0.6556592205741436}",20,4,-24.44788634441641,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
43,False,"{'a': 0.9, 'e': 0.6491026283684022}",20,0,2.950155498510105,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.9, 'e': 0.6426116020847181}",20,0,-87.02372928214456,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
45,False,"{'a': 0.9, 'e': 0.6361854860638709}",30,9,-27.842732875530313,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
46,False,"{'a': 0.9, 'e': 0.6298236312032323}",25,7,-79.72396792347318,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 0}",1
47,False,"{'a': 0.9, 'e': 0.6235253948912}",25,0,-43.61010182166795,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",1
48,False,"{'a': 0.9, 'e': 0.617290140942288}",20,0,20.350371235503626,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.9, 'e': 0.6111172395328651}",20,0,-153.40108297140054,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
50,False,"{'a': 0.9, 'e': 0.6050060671375365}",30,15,-21.55886018431943,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
51,False,"{'a': 0.9, 'e': 0.5989560064661611}",20,12,7.282883535436996,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.9, 'e': 0.5929664464014994}",20,0,-7.176026133553326,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
53,False,"{'a': 0.9, 'e': 0.5870367819374844}",30,1,5.324553536518221,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 0}",1
54,False,"{'a': 0.9, 'e': 0.5811664141181095}",30,5,-42.16952746523189,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",1
55,False,"{'a': 0.9, 'e': 0.5753547499769285}",25,0,-36.35526162707711,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
56,False,"{'a': 0.9, 'e': 0.5696012024771592}",20,15,3.1192285611079837,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.9, 'e': 0.5639051904523876}",20,9,15.57226683866199,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.9, 'e': 0.5582661385478638}",20,0,-20.238241577608324,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
59,False,"{'a': 0.9, 'e': 0.5526834771623851}",20,0,3.0459806687092548,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.9, 'e': 0.5471566423907612}",25,0,-63.93432663900035,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
61,False,"{'a': 0.9, 'e': 0.5416850759668536}",20,0,-7.4416622617902775,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
62,False,"{'a': 0.9, 'e': 0.536268225207185}",20,0,-12.221228006899645,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
63,False,"{'a': 0.9, 'e': 0.5309055429551132}",30,0,-31.001737659380332,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
64,False,"{'a': 0.9, 'e': 0.525596487525562}",20,0,-42.067556811943106,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
65,False,"{'a': 0.9, 'e': 0.5203405226503064}",20,0,-3.8624508130288078,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
66,False,"{'a': 0.9, 'e': 0.5151371174238033}",20,0,-69.867484863981,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
67,False,"{'a': 0.9, 'e': 0.5099857462495653}",30,1,-162.91206983987655,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 3}",1
68,False,"{'a': 0.9, 'e': 0.5048858887870696}",20,0,-8.848368327670562,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
69,False,"{'a': 0.9, 'e': 0.4998370298991989}",35,9,-56.91444942043778,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 1}",1
70,False,"{'a': 0.9, 'e': 0.49483865960020695}",25,0,-169.555555968638,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",0
71,False,"{'a': 0.9, 'e': 0.4898902730042049}",35,9,-42.20670951610348,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 1}",1
72,False,"{'a': 0.9, 'e': 0.48499137027416284}",25,1,-26.424775281339716,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 0}",1
73,False,"{'a': 0.9, 'e': 0.4801414565714212}",20,0,-27.177262258491442,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
74,False,"{'a': 0.9, 'e': 0.475340042005707}",30,13,7.196452852582386,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.9, 'e': 0.47058664158564995}",20,3,-108.38485305500205,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 2}",1
76,False,"{'a': 0.9, 'e': 0.4658807751697934}",30,16,14.462732052751816,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.9, 'e': 0.4612219674180955}",25,10,5.270386326525678,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.9, 'e': 0.45660974774391455}",30,16,-39.470063731822044,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
79,False,"{'a': 0.9, 'e': 0.4520436502664754}",20,8,9.782367603096176,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.9, 'e': 0.44752321376381066}",25,14,-4.546374771957385,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.9, 'e': 0.44304798162617254}",30,0,13.476394359160912,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
82,False,"{'a': 0.9, 'e': 0.4386175018099108}",20,0,-59.34869690237354,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
83,False,"{'a': 0.9, 'e': 0.4342313267918117}",25,16,14.81764562389402,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.9, 'e': 0.4298890135238936}",25,13,10.21587188156546,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.9, 'e': 0.42559012338865465}",25,20,8.072950649158491,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.9, 'e': 0.4213342221547681}",20,11,-19.211786304824066,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.9, 'e': 0.41712087993322045}",30,12,-47.62760831750617,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
88,False,"{'a': 0.9, 'e': 0.41294967113388825}",20,12,-0.7628994507947175,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.9, 'e': 0.40882017442254937}",25,0,-115.16194960915857,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
90,False,"{'a': 0.9, 'e': 0.4047319726783239}",20,0,-36.90481426281793,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
91,False,"{'a': 0.9, 'e': 0.40068465295154065}",25,12,12.118428847585394,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.9, 'e': 0.39667780642202527}",30,0,-28.632731197837252,"{0: 24, 1: 0, 2: 6, 3: 0, 4: 0}",0
93,False,"{'a': 0.9, 'e': 0.392711028357805}",20,6,8.855896345886018,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
