trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
184,False,"{'a': 0.9, 'e': 0.15735328210778965}",25,19,11.469729643421338,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.9, 'e': 0.15577974928671176}",35,15,-5.165246256930568,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
186,False,"{'a': 0.9, 'e': 0.15422195179384465}",25,15,17.18000485883284,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.9, 'e': 0.1526797322759062}",25,13,17.416937243581735,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.9, 'e': 0.15115293495314713}",20,16,8.733304371778534,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.9, 'e': 0.14964140560361566}",30,13,21.819642158434014,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.9, 'e': 0.1481449915475795}",20,10,6.091885803619109,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.9, 'e': 0.1466635416321037}",20,8,-1.982188803649601,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
192,False,"{'a': 0.9, 'e': 0.14519690621578268}",25,9,28.396010323921615,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.9, 'e': 0.14374493715362485}",20,10,-19.347578813391898,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
194,False,"{'a': 0.9, 'e': 0.1423074877820886}",20,3,16.444001626675913,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.9, 'e': 0.1408844129042677}",30,15,-77.48597799309714,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
196,False,"{'a': 0.9, 'e': 0.13947556877522502}",20,0,20.324553355640305,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
197,False,"{'a': 0.9, 'e': 0.13808081308747278}",30,13,31.704559201500036,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.9, 'e': 0.13670000495659804}",30,14,6.158592353640376,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
199,False,"{'a': 0.9, 'e': 0.13533300490703207}",25,7,18.95571542507504,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
200,False,"{'a': 0.9, 'e': 0.13397967485796175}",20,6,-0.22177829346935773,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
201,False,"{'a': 0.9, 'e': 0.13263987810938213}",20,6,20.82001156558089,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.9, 'e': 0.1313134793282883}",25,11,20.30309198680604,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.9, 'e': 0.13000034453500542}",20,9,18.977672545275347,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.9, 'e': 0.12870034108965536}",20,8,19.04145542676981,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.9, 'e': 0.12741333767875881}",20,14,14.79740519400525,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.9, 'e': 0.12613920430197123}",25,15,4.842066129846554,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.9, 'e': 0.12487781225895152}",25,14,23.106014149617664,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.9, 'e': 0.123629034136362}",20,0,16.770519637910724,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
209,False,"{'a': 0.9, 'e': 0.12239274379499838}",25,1,-18.672696937726542,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
210,False,"{'a': 0.9, 'e': 0.1211688163570484}",20,8,13.73056205005182,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.9, 'e': 0.11995712819347792}",25,2,27.042737313691475,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.9, 'e': 0.11875755691154315}",20,10,5.376622961556159,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
213,False,"{'a': 0.9, 'e': 0.11756998134242772}",20,8,20.166660438493036,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.9, 'e': 0.11639428152900344}",30,17,11.58479874779188,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.9, 'e': 0.11523033871371341}",25,0,25.54589960699772,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
216,False,"{'a': 0.9, 'e': 0.11407803532657627}",30,15,14.811072661554975,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
217,False,"{'a': 0.9, 'e': 0.11293725497331052}",20,11,14.198907305565285,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.9, 'e': 0.1118078824235774}",25,8,21.79727631228556,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.9, 'e': 0.11068980359934164}",30,16,22.32344941666389,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.9, 'e': 0.10958290556334822}",25,8,-11.978962138746313,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
221,False,"{'a': 0.9, 'e': 0.10848707650771475}",20,6,13.60435041299966,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
222,False,"{'a': 0.9, 'e': 0.1074022057426376}",20,14,10.970264569778603,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.9, 'e': 0.10632818368521123}",20,0,28.656808940971803,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
224,False,"{'a': 0.9, 'e': 0.10526490184835911}",20,8,20.841220114446713,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.9, 'e': 0.10421225282987552}",30,13,28.48494443485824,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.9, 'e': 0.10317013030157676}",20,0,30.92740543879063,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
227,False,"{'a': 0.9, 'e': 0.10213842899856099}",20,11,3.6885855067901403,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.9, 'e': 0.10111704470857538}",20,0,-10.866269012725974,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
229,False,"{'a': 0.9, 'e': 0.10010587426148963}",30,17,-25.74922954069431,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
230,False,"{'a': 0.9, 'e': 0.09910481551887473}",25,8,-0.11943999181638065,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,15,29.12859565578063,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,11,14.75473893606895,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,14,20.915278270886496,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,8,32.811731600356104,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,10,32.802752981316466,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,15,27.15323400875156,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,11,15.19247898144765,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,16,8.136932425187972,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,18,11.743841246838144,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,9,22.105039862228093,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
